"AgeRange","AvatarId","FacebookUid","FastestResponse","Gender","HighScore","LifetimeScore","Locale","Recordings","UserId"
"","1080","519765774","0","","18031","79190","","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","1"
"","1080","573537580","0","","16384","17438902831","","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","3"
"","1080","100005607156922","0","","16977","111944","","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","4"
"","1080","736285923","534","","19561","232984","","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","5"
"","1080","535437037","0","","19732","659008","","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","6"
"","1080","659895289","648","","19346","213786","","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","7"
"","1080","704610832","0","","19160","337673","","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","9"
"","1080","503593565","778","","19109","186441","","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","10"
"","1080","21005017","692","","13413","26401","","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","11"
"","1080","587585460","","","0","0","","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","12"
"","1080","544491862","0","","16234","91506","","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","15"
"11/22/1986","1080","515071472","0","female","17754","68556","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","17"
"05/06/1985","1080","504521265","0","male","11382","11382","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","18"
"02/04/1983","1080","820155077","248","male","11312","11312","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","19"
"01/06/1905","1080","818400547","","male","0","0","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","20"
"","1080","563912068","","female","0","0","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","21"
"10/09/1977","1080","541407262","0","female","11280","11280","Vancouver, British Columbia","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","22"
"06/07/1955","1080","645422074","","male","0","0","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","23"
"01/14/1983","1080","1437767744","0","female","14460","42742","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","24"
"01/21/1984","1080","503826398","0","female","16406","33750","Beaumont, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","25"
"06/12/1968","1080","582526236","0","male","6754","6754","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","26"
"09/27/1984","1080","100004075920038","526","female","11748","11748","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","27"
"05/03/1978","1080","601140735","","female","0","0","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","28"
"02/12/1982","1080","865725314","0","male","0","4404","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","29"
"04/29/1959","1080","738631181","","male","0","0","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","30"
"02/27/1984","1080","100000571422939","0","male","15002","29040","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","31"
"09/08/1979","1080","509199654","0","male","0","5778","Calgary, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","32"
"01/05/1955","1080","545636154","","female","0","0","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","33"
